task,platform,Compression Method,mean,lower_bound,upper_bound,uncertainty
cc,cuda,distil,-47.998748667733786,-49.456230961280745,-46.61960912207523,1.4183109196027566
cc,cuda,quant4,197.93278155266043,192.08472536227546,203.64033163465155,5.777803136188041
cc,cuda,quant,109.81530774778696,103.62521433392632,115.79611172044918,6.0854486932614265
cc,cuda,quantf8,97.92439481459375,92.9351383787725,103.12513271241535,5.094997166821422
cc,cuda,prune,9.951079892812258,7.583075866986874,12.378613345348757,2.3977687391809415
cc,cuda,prune4,6.4473406400703945,3.696051762995337,9.174738648434483,2.739343442719573
cc,cuda,prune6,7.8441310838114315,5.485956743624197,10.351602625790939,2.432822941083371
ct,cuda,distil,4.238337987095029,0.340653292414137,8.022736421183069,3.841041564384466
ct,cuda,quant4,27.793655993053726,25.313863392012838,30.39849996391726,2.542318285952211
ct,cuda,quant,6.155895491189114,3.84676056816374,8.52661663997038,2.33992803590332
ct,cuda,quantf8,13.588815209579694,11.186796389985568,16.098478676954212,2.4558411434843217
ct,cuda,prune,9.48399423428748,7.41924477558978,11.655909865128896,2.118332544769558
ct,cuda,prune4,137.47073868378368,124.29081656750432,149.97723131354167,12.843207373018672
ct,cuda,prune6,455.82715038527095,426.07145246846216,484.7009985563165,29.314773043927175
cc,cpu,distil,-34.33545237812569,-39.06666413223504,-29.88751120007835,4.589576466078345
cc,cpu,quant4,137.67905416570224,116.71351366451788,158.29136829577948,20.7889273156308
cc,cpu,quant,102.3589912806078,93.92578225555339,111.0403662363595,8.557291990403058
cc,cpu,quantf8,42.05703078292522,31.06782985966666,53.062557824836446,10.997363982584893
cc,cpu,prune,15.322740239334854,11.692186703226191,18.838679144875144,3.573246220824476
cc,cpu,prune4,18.505737819501316,14.694934013577676,22.37344817982016,3.8392570831212414
cc,cpu,prune6,-66.40460950274104,-67.58256373394967,-65.23980467009672,1.1713795319264761
ct,cpu,distil,-43.44425332788931,-49.3778996422217,-37.38612937131448,5.995885135453609
ct,cpu,quant4,5.80640596916841,-29.91851503266222,33.27150505640831,31.595010044535265
ct,cpu,quant,-35.026517716518576,-41.116854753046184,-28.992964436086254,6.061945158479965
ct,cpu,quantf8,-30.82003661870683,-37.58728059231461,-24.092417057014046,6.7474317676502835
ct,cpu,prune,-51.84356213372523,-56.474461980767884,-47.255828050697744,4.60931696503507
ct,cpu,prune4,22.037214414741413,8.592105171953754,35.499656380953724,13.453775604499985
ct,cpu,prune6,236.10897028205943,185.5426528084098,281.8049014365152,48.1311243140527
tc,cuda,distil,-28.110439594179834,-30.493993023637405,-25.778872925667507,2.357560048984949
tc,cuda,quant4,194.58097157336476,188.27500225766263,201.65799433240943,6.691496037373398
tc,cuda,quant,98.63642946360702,94.25603858998535,103.38169884349007,4.56283012675236
tc,cuda,quantf8,105.15691164451431,99.1944513129822,110.81962143201352,5.812585059515662
tc,cuda,prune,6.715874820294055,4.393727127472916,9.25305185897611,2.4296623657515974
tc,cuda,prune4,8.461641833129343,5.432994683372964,11.643832969204986,3.105419142916011
tc,cuda,prune6,18.72528247434199,15.606850893912323,21.963762114515923,3.1784556103018
tc,cpu,distil,-81.44603311909067,-82.62337461062602,-80.40440704028649,1.1094837851697648
tc,cpu,quant4,61.31487324277544,59.392283476796514,63.17857390707526,1.8931452151393735
tc,cpu,quant,43.12683736437343,40.19808614111181,46.02980175215715,2.91585780552267
tc,cpu,quantf8,35.30896090767192,32.61112105880575,38.02016851358603,2.7045237273901392
tc,cpu,prune,6.7546344784824806,4.858211745143633,8.381525038730356,1.7616566467933614
tc,cpu,prune4,16.255872073248465,14.49249636925861,17.96209035021162,1.7347969904765055
tc,cpu,prune6,8.400833569216234,6.232155552283272,10.587971750452258,2.177908099084493
