task,platform,Compression Method,median,lower_bound,upper_bound,uncertainty
cc,cuda,distil,-47.686270867677,-48.22162527070971,-46.93891383055157,0.6413557200790692
cc,cuda,quant4,201.61099923616433,199.33404250628513,208.85480997256215,4.760383733138511
cc,cuda,quant,107.41182132789548,101.40967449171625,111.53324480812027,5.061785158202014
cc,cuda,quantf8,98.25668271625582,95.6918743728949,102.10720127216945,3.2076634496372733
cc,cuda,prune,9.094708491026893,7.601984062119204,11.597590026067838,1.997802981974317
cc,cuda,prune4,6.172924245545053,4.275168109850558,7.688256965351692,1.706544427750567
cc,cuda,prune6,7.2837506748060665,5.20503095171334,8.399481733834268,1.597225391060464
ct,cuda,distil,-2.193771401375505,-9.227924010722088,0.5570958501248437,4.892509930423466
ct,cuda,quant4,29.05857761316757,27.592319635710822,32.64377408468969,2.525727224489433
ct,cuda,quant,6.166798636902515,3.5793037915676553,8.248616699112286,2.3346564537723156
ct,cuda,quantf8,14.047513876480322,12.087876486742463,16.534314531783888,2.2232190225207127
ct,cuda,prune,9.790849484516283,7.623813692686053,11.36588188359552,1.8710340954547338
ct,cuda,prune4,121.86538585603441,106.60862041958902,132.85872498784926,13.12505228413012
ct,cuda,prune6,419.3352951516026,386.3225753298426,445.3491904541345,29.51330756214594
cc,cpu,distil,-39.790423939884434,-42.29762421490696,-36.99513411357648,2.6512450506652385
cc,cpu,quant4,133.53041807972562,103.34503774050935,155.94675321769287,26.30085773859176
cc,cpu,quant,102.1938279308898,86.95436763253633,115.65962586752548,14.352629117494573
cc,cpu,quantf8,41.87196378559648,27.705008776236667,60.24402013198971,16.26950567787652
cc,cpu,prune,15.516242126694713,8.543900794810732,20.492847419442885,5.974473312316077
cc,cpu,prune4,18.750375181771872,11.15873836934911,25.541111315384278,7.191186473017584
cc,cpu,prune6,-67.8502152866635,-69.6975464098097,-66.90517812244096,1.3961841436843727
ct,cpu,distil,-39.84487312628083,-44.54813247021143,-28.888352067888107,7.8298902011616605
ct,cpu,quant4,-17.85762361450582,-23.633666986454898,-9.60211277264883,7.015777106903034
ct,cpu,quant,-27.187718583750872,-33.18312874452786,-19.74054390957326,6.721292417477301
ct,cpu,quantf8,-20.286326827986244,-26.591622477914886,-10.73579584434616,7.9279133167843625
ct,cpu,prune,-45.308878466609556,-50.80628365258773,-41.08686581887942,4.8597089168541565
ct,cpu,prune4,24.710360536509512,11.67660895847051,51.26453574020865,19.79396339086907
ct,cpu,prune6,183.4778471862448,136.4263551304801,220.27109348509654,41.92236917730823
tc,cuda,distil,-29.155941916371763,-29.57805112964393,-28.643201849671826,0.4674246399860529
tc,cuda,quant4,209.56307870370273,207.59834348032885,211.5280658135986,1.9648611666348756
tc,cuda,quant,105.85060655267907,104.62351120937382,106.74169414318851,1.059091466907347
tc,cuda,quantf8,113.23433538572915,111.65666026581479,115.20647955625134,1.7749096452182727
tc,cuda,prune,11.133833747763422,10.59243285891911,11.920293055423702,0.6639300982522958
tc,cuda,prune4,6.379991433059007,4.71915403134202,7.487507864922316,1.3841769167901479
tc,cuda,prune6,19.756372443229896,16.269081305987076,22.964213825147837,3.347566259580381
tc,cpu,distil,-84.72553433244336,-85.2769459855923,-83.94384966617609,0.6665481597081069
tc,cpu,quant4,61.76708325288829,58.15854713251588,67.76189803613755,4.801675451810837
tc,cpu,quant,42.17162092095648,38.926877029137934,46.53657275398449,3.8048478624232764
tc,cpu,quantf8,34.212099229783256,31.0893696014259,36.83592767969566,2.8732790391348786
tc,cpu,prune,5.54640643029678,4.538270590807891,6.574270092408141,1.0179997508001248
tc,cpu,prune4,16.13491677989678,14.120179680450644,18.562521212875428,2.221170766212392
tc,cpu,prune6,3.0822157914319526,-1.680915103866254,5.349508240022893,3.5152116719445736
